#County,Population
Adair County,7682
Adams County,4029
Allamakee County,14330
Appanoose County,12887
Audubon County,6119
Benton County,26076
Black Hawk County,131090
Boone County,26306
Bremer County,24276
Buchanan County,20958
Buena Vista County,20260
Butler County,14867
Calhoun County,9670
Carroll County,20816
Cass County,13956
Cedar County,18499
Cerro Gordo County,44151
Cherokee County,12072
Chickasaw County,12439
Clarke County,9286
Clay County,16667
Clayton County,18129
Clinton County,49116
Crawford County,17096
Dallas County,66135
Davis County,8753
Decatur County,8457
Delaware County,17764
Des Moines County,40325
Dickinson County,16667
Dubuque County,93653
Emmet County,10302
Fayette County,20880
Floyd County,16303
Franklin County,10680
Fremont County,7441
Greene County,9336
Grundy County,12453
Guthrie County,10954
Hamilton County,15673
Hancock County,11341
Hardin County,17534
Harrison County,14928
Henry County,20145
Howard County,9566
Humboldt County,9815
Ida County,7089
Iowa County,16355
Jackson County,19848
Jasper County,36842
Jefferson County,16843
Johnson County,130882
Jones County,20638
Keokuk County,10511
Kossuth County,15543
Lee County,35862
Linn County,211226
Louisa County,11387
Lucas County,8898
Lyon County,11581
Madison County,15679
Mahaska County,22381
Marion County,33309
Marshall County,40648
Mills County,15059
Mitchell County,10776
Monona County,9243
Monroe County,7970
Montgomery County,10740
Muscatine County,42745
O'Brien County,14398
Osceola County,6462
Page County,15932
Palo Alto County,9421
Plymouth County,24986
Pocahontas County,7310
Polk County,430640
Pottawattamie County,93158
Poweshiek County,18914
Ringgold County,5131
Sac County,10350
Scott County,165224
Shelby County,12167
Sioux County,33704
Story County,89542
Tama County,17767
Taylor County,6317
Union County,12534
Van Buren County,7570
Wapello County,35625
Warren County,46225
Washington County,21704
Wayne County,6403
Webster County,38013
Winnebago County,10866
Winneshiek County,21056
Woodbury County,102172
Worth County,7598
Wright County,13229
